id	func	details_en
G7	D	Determinative imn “Amun,” nsw “king,” divine. 1st sing. pro. i, wi, with divine speaker.
G8	I	Logogram Hr/bik nbw “Golden Horus/falcon.”
G9	I	Logogram in rꜥ-ḥrw-ꜣḫty “Re-Horakhty.”
G10	D	Determinative in skr “Sokar,” ḥnw “Sokar bark.”
G11	D	Determinative in ꜥšm, ꜥẖm, ꜥḫm “divine image,” šnbt “breast.”
G12	D	Use as G11.
G13	ID	Logogram ḥrw nḫny “Horus of Hierakonopolis.” Determinative in spdw “Sopdu.”
G14	P	Phonogram mwt, mt. In mwt “mother.”
G15	D	Determinative in mwt “Mut.”
G16	I	Logogram in nbty “Two Ladies” (title of Pharaoh)
G17	P	Phonogram m.
G18	P	Phonogram mm.
G19	P	Phonogram mi, m.
G20	P	Use as G19.
G21	P	Phonogram nḥ. In nḥḥ “eternity.”
G22	P	Phonogram ḏb/ḏbt.
G23	ID	Determinative and Logogram in rḫyt “commoners.”
G24	ID	Use as G23.
G25	P	Phonogram ꜣḫ. In “spirit.”
G26	D	Determinative in ḏḥwty “Thoth.”
G27	P	Phonogram dšr. In dšr “red,” “flamingo.”
G28	P	Phonogram gm. In gmi “find.”
G29	P	Phonogram bꜣ. In “soul.”
G30	I	Logogram in bꜣw “spirits, strength.”
G31	D	Determinative in šnty “heron.”
G32	ID	Determinative or Logogram in bꜥḫi “inundated.”
G33	D	Determinative sdꜣ “tremble.”
G34	D	Determinative in niw “ostrich.”
G35	P	Phonogram ꜥq. In ꜥq “enter.”
G36	P	Phonogram wr. In wr “great.”
G37	D	Determinative in nḏs “small,” bin “bad.”
G38	PD	Phonogram gb. In gb “Geb.” Determinative in wfꜣ “talk,” wsf “idle,” ḥtm “perish.”
G39	PD	Phonogram sꜣ. In sꜣ “son.” Determinative in si “duck.”
G40	P	Phonogram pꜣ. In pꜣ “the,” “fly.”
G41	P	Phonogram ḫn. In ḫni “alight, halt,” ḫn “speech,” qmꜣ “throw,” “create.”
G42	ID	Determinative and Logogram in wšꜣ “fatten,” ḏfꜣw “provisions.”
G43	P	Phonogram w.
G44	P	Phonogram ww. In pḥww “end.”
G45	P	Phono wꜥ.In wꜥw “soldier.”
G46	P	Phonogram mꜣw.
G47	P	Phonogram ṯꜣ. In ṯꜣy “male.”
G48	I	Logogram in sš “nest.”
G49	ID	Determinative or Logogram in sš “nest.”
G50	I	Logogram for rḫty “washerman.”
G51	D	Determinative in ḥꜣm “catch fish.”
G52	D	Determinative in snm “feed.”
G53	I	Logogram in bꜣ “soul.”
G54	P	Phonogram snḏ. In snḏ “fear.”
H1	ID	Logogram in ꜣpd “bird.” Determinative in wšn “wring the neck of birds.”
H2	PD	Phonogram mꜣꜥ, wšm, pꜣq. Determinative in mꜣꜥ “temple of the head,” “true.”
H3	P	Phonogram pꜣq.
H4	PD	Phonogram nr. Determinative in nrt “vulture.”
H5	D	Determinative in ḏnḥ “wing.”
H6	PID	Phonogram šw. Logogram in šwt “feather.” Determinative and Logogram in mꜣꜥt “truth.”
H7	P	Phonogram šꜣ, šꜣt. In šꜣt “Shat” (location).
H8	ID	Logogram in sꜣ “son.” Determinative sḥwt “egg.”
I1	PD	Phonogram ꜥšꜣ. Determinative for lizard. ex. ꜥšꜣ “lizard” and ꜥšꜣ “many, numerous.”
I2	ID	Determinative or Logogram for štyw “turtle.”
I3	ID	Determinative or Logogram for crocodile. ex. msḥ “crocodile,” ꜣd “agressive.” Logogram ity “sovereign,” when reduplicated
I4	D	Determinative sbk “Sobek.”
I5	D	Determinative in sꜣq “collect, gather.”
I6	P	Phonogram km. In km (“black”) and kmt (“the Black Land”, Egypt).
I7	ID	Determinative in ḥqt “Heqet.” Logogram wḥm ꜥnḫ “repeating life.”
I8	ID	Determinative ḥfnr “tadpole.” Logogram ḥfn “100,000.”
I9	PD	Phonogram f. Determinative in it “father.”
I10	P	Phonogram ḏ.
I11	P	Phono ḏḏ.
I12	D	Determinative in ꜥirt “uraeus.” Determinative of goddesses.
I13	D	Determinative in wꜣḏt “Wadjet.”
I14	D	Determinative ḥfꜣw “snake, serpent.”
I15	D	Use as I14.
K1	P	Phonogram in. In int “bulti.”
K2	P	Phonogram bw. In bwt “abomination.”
K3	P	Phonogram ꜥḏ. In ꜥḏ-mr “district administrator.”
K4	P	Phonogram ẖꜣ. In ẖꜣt “oxyrhynchus.”
K5	PD	Phonogram bs. Determinative in bsi “introduce.”
K6	ID	Determinative and Logogram in nšmt “fish scale.”
K7	D	Determinative špt “discontented.”
L1	P	Phonogram ḫpr. In ḫpr “being, exist, become.
L2	I	Logogram for bity “King of Lower Egypt.”
L3	D	Determinative in ꜥff “fly.”
L4	D	Determinative in snḥm “locust.”
L5	D	Determinative spꜣ “centipede.”
L6	P	Phonogram ḫꜣ. In ḫꜣwt (“offering table”).
L7	ID	Determinative and Logogram in srqt “Selket.”
M1	PD	Phonogram imꜣ. Determinative nhwt, mnw “trees.”
M2	PD	Phonogram ḥn. In ḥni “rush,” ḥnw “vessel.” Determinative in is “tomb.”
M3	P	Phonogram ḫt. In ḫt “wood,” ḫtyw “terrace,” nḫt “strong.”
M4	ID	Logogram in rnpt “year,” ḥsbt “regnal year.” Determinative in tr “time.”
M5	ID	Determinative or Logogram in tr “time, season.”
M6	ID	Determinative or Logogram in tr “time, season.”
M7	ID	Determinative or Logogram in rnpi “young.”
M8	PI	Phono šꜣ. In šꜣ “marsh.” Logogram ꜣḫt “Inundation” (season).
M9	ID	Determinative or Ideo in sšn “lily.”
M10	D	Determinative in nḥbt “lily bud.”
M11	ID	Determinative or Logogram in wdn “offer.”
M12	P	Phonogram ḫꜣ. In ḫꜣw nw sšn “lily plants” ḫꜣ “1,000,” sḫꜣ “remember.”
M13	P	Phonogram wꜣḏ, wḏ.
M14	P	Phonogram wꜣḏ. In wꜣḏ wr “the sea.”
M15	PD	Phonogram ꜣḫ. In ꜣḫ-bit “Chemmis.” Determinative of Papyrus.
M16	PD	Phonogram ḥꜣ . In ḥꜣq “capture.” Determinative in “The Delta.”
M17	P	Phonogram i. Phonogram y, when doubled.
M18	P	Phono i. In ii “come.”
M19	ID	Determinative and Logogram in ꜥꜣbt “offering.”
M20	D	Determinative sḫt “marshland,” sm “occupation.”
M21	D	Determinative in sm “plant,” “help.”
M22	P	Phonogram nḫb . Phonogram nn, when doubled. In nḫbt “germination,” “Nehkbet.”
M23	PI	Phonogram sw. Logogram nswt “king.”
M24	I	Logogram rsw “south.”
M25	I	Use as M24.
M26	PI	Phonogram šmꜥ. Logogram šmꜥw in “Upper Egypt.”
M27	P	Phonogram šmꜥ.
M28	I	Logogram in title wr mḏw šmꜥw “Greatest of the tens of Upper Egypt.”
M29	P	Phonogram nḏm. In nḏm “sweet.
M30	ID	Determinative or Logogram bnr “sweet.”
M31	D	Determinative in rd “grow.”
M32	D	Use as M31
M33	I	Logogram in it “barley, corn.”
M34	ID	Determinative or Logogram in bti “emmer.”
M35	D	Determinative of heap.
M36	P	Phonogram ḏr. In ḏr (“limit, end; since”).
M37	P	Phonogram ḏr.
M38	D	Determinative in mḥꜥ “flax,” dmꜣ “bind together.”
M39	D	Determinative in rnpt “vegetables.”
M40	P	Phonogram ỉs. In ỉs (“tomb”) and ỉst (“crew, gang”).
M41	D	Determinative in ꜥš “cedar.”
M42	P	Phonogram wn. In wnm “eat,” ḥwn “be young.”
M43	ID	Determinative or Logogram in irp “wine.”
M44	D	Determinative spd “sharp.”
N1	ID	Logogram for pt (“sky, heaven”). Determinative of sky, above; in ḥry (“upper”).
N2	ID	Determinative or Logogram grḥ “night.”
N3	ID	Use as N2.
N4	ID	Determinative or Logogram šnyt “rain,” iꜣdt “dew.”
N5	ID	Logogram for rꜥ (“sun, Re”), hrw (“day”) and sw (“day”, in dates). Determinative of sun, day, time.
N6	ID	Determinative or ideo in rꜥ “sun, Re.”
N7	D	Determinative ẖrt-hrw “daytime.”
N8	PID	Phonogram wbn. Determinative or Logogram ꜣḫw “sunshine,” psḏ “shine,” wbn “rise.”
N9	P	Phonogram psḏ. In psḏt “Ennead.”
N10	P	Use as N9.
N11	ID	Logogram ꜣbd “month.” Determinative iꜥḥ “moon.”
N12	D	Determinative iꜥḥ “moon.”
N13	I	Logogram mḏdiwnt “half month festival.”
N14	PI	Phonogram sbꜣ, dwꜣ. In sbꜣ “star,” dwꜣ “morning.” Logogram wnwt “hour.”
N15	I	Logogram in dwꜣt “netherworld.”
N16	PD	Phonogram tꜣ. In tꜣ “land, earth.”Determinative in ḏt “eternity.”
N17	PD	Use as N16.
N18	I	Logogram in iw “island.”
N19	I	Logogram in ꜣḫt “horizon,” ḥrw-ꜣḫty “Horakhty.”
N20	PD	Phonogram wḏb. In wḏb “shore.” Determinative in ḥꜣb-sd “Sed Festival.”
N21	I	Logogram in idb “bank,” idbwy “two banks.”
N22	D	Determinative in ꜥḥt “field,” sḫt “field.”
N23	ID	Determinative of land, especially irrigated land. Logogram for gbb (“Geb”).
N24	ID	Determinative or Logogram in spꜣt “nome.”
N25	I	Logogram in ḫꜣst “foreign land, hill country.”
N26	P	Phonogram ḏw “mountain.”
N27	I	Logogram in ꜣḫt “horizon.”
N28	P	Phonogram ḫꜥ. In ḫꜥ “appear.”
N29	P	Phonogram q.
N30	ID	Determinative or Logogram in iꜣt “mound.”
N31	ID	Determinative and Logogram in wꜣt “road.”
N32	D	Determinative in sin “clay.”
N33	D	Determinative in nbw “gold.”
N34	I	Logogram in biꜣ, ḥmt “copper.”
N35	P	Phonogram n.
N36	P	Phonogram mr. In mr “canal.”
N37	P	Phonogram š. In š “pool.”
N38	P	Use as N37.
N39	P	Use as N37.
N40	P	Phonogram šm. In šm “to go.”
N41	PD	Phonogram ḥm. In ḥmt “wife.” Determinative in biꜣ “copper.”
N42	PD	Use as N41.
O1	P	Phonogram pr. In pr “house,” pri “go.”
O2	I	Logogram in pr-ḥḏ “treasury.”
O3	I	Logogram in prt-ḫrw “invocation offering.”
O4	P	Phonogram h.
O5	P	Phonogram nm. In nmi “traverse.”
O6	I	Logogram in ḥwt “temple, tomb, enclosure.”
O7	I	Use as O6.
O8	I	Logogram in ḥwt-ꜥꜣ “Great temple, enclosure.”
O9	I	Logogram in nbt-ḥyt “Nephthys.”
O10	I	Logogram in ḥwt-ḥrw “Hathor.”
O12	I	Logogram in ꜥḥ “palace.”
